ra,dec,vlos,vlos_err,has_vlos,vlos_src,x_pc,y_pc,r_pc,preprocess_mode
151.71266666666668,16.073694444444445,-110.3,3.2,True,SIMON,-20.841554647162567,-3.2939211121946754,2.352828,dwarf
151.714,15.956055555555555,-192.9,2.2,True,SIMON,-20.327265821826924,-50.517197720670204,6.071956,dwarf
151.71558333333334,16.29977777777778,186.89999999999998,8.9,True,SIMON,-19.7165478417206,87.46174555046804,9.997347,dwarf
151.71758333333332,15.914666666666667,-260.9,2.7,True,SIMON,-18.945114603712224,-67.13176257229325,7.778046,dwarf
151.717625,16.063666666666666,-3.8000000000000114,5.3,True,SIMON,-18.929043077912205,-7.319329106447725,2.263022,dwarf
151.71804166666666,16.043277777777778,3.5,8.8,True,SIMON,-18.76832781999052,-15.503953670938431,2.714513,dwarf
151.71804166666666,16.043277777777778,-5.0,2.3,True,SIMON,-18.76832781999052,-15.503953670938431,2.714513,dwarf
151.71804166666666,16.043277777777778,2.8000000000000114,2.3,True,SIMON,-18.76832781999052,-15.503953670938431,2.714513,dwarf
151.71804166666666,16.043277777777778,8.099999999999994,2.9,True,SIMON,-18.76832781999052,-15.503953670938431,2.714513,dwarf
151.72104166666665,16.162888888888887,-1.3000000000000114,7.0,True,SIMON,-17.611177962968142,32.51102367878605,4.122931,dwarf
151.72104166666665,16.162888888888887,-3.0,3.0,True,SIMON,-17.611177962968142,32.51102367878605,4.122931,dwarf
151.72245833333332,15.995555555555555,-205.6,2.3,True,SIMON,-17.064746086032457,-34.66088146630092,4.307962,dwarf
151.72449999999998,16.048805555555557,-143.8,3.0,True,SIMON,-16.27724132222406,-13.28496145249991,2.342815,dwarf
151.724875,15.815805555555556,-280.9,3.3,True,SIMON,-16.132597590092583,-106.81715606687608,12.045954,dwarf
151.72595833333332,15.922416666666667,60.5,6.2,True,SIMON,-15.71473791949817,-64.02071318061381,7.350685,dwarf
151.726375,16.27075,-62.69999999999999,2.6,True,SIMON,-15.554022661576488,75.80924872499922,8.629364,dwarf
151.72691666666665,16.024055555555556,3.9000000000000057,7.4,True,SIMON,-15.345092826284187,-23.22024821947727,3.103530,dwarf
151.72716666666668,16.22472222222222,-172.9,2.5,True,SIMON,-15.248663671523326,57.332514524232494,6.615240,dwarf
151.72733333333332,16.107305555555556,1.5999999999999943,11.8,True,SIMON,-15.184377568362505,10.198443633083865,2.039617,dwarf
151.72750000000002,16.297055555555556,-388.2,20.4,True,SIMON,-15.120091465182053,86.36897551324574,9.777223,dwarf
151.72866666666667,15.949444444444445,-29.80000000000001,2.2,True,SIMON,-14.670088743007229,-53.17106781106284,6.150480,dwarf
151.730625,15.920694444444443,7.699999999999989,5.9,True,SIMON,-13.914727030779243,-64.7120574898759,7.380788,dwarf
151.73104166666667,16.071166666666667,5.5,3.8,True,SIMON,-13.754011772857561,-4.308636146757694,1.607163,dwarf
151.733875,16.116666666666667,94.0,2.6,True,SIMON,-12.661148018996006,13.956234475363871,2.101196,dwarf
151.73454166666664,16.18347222222222,-90.9,4.1,True,SIMON,-12.404003606333088,40.77370324593732,4.752290,dwarf
