SDSSJ100640.46+160238.1  204.6  6.4  0.2  0.6  5.7 54416.551 21.95 21.59 21.47 1  0.989  0.965 
SDSSJ100640.46+160238.1  210.7  9.0  1.6  0.5  5.7 54889.343                                   
SDSSJ100640.70+160638.0 -103.7  5.6  1.3  0.7  5.8 54881.284 20.46 20.17 20.05 0  0.000  0.000 
SDSSJ100640.70+160638.0 -108.6  3.3  0.6  0.3  5.8 54881.416                                   
SDSSJ100640.75+155932.7  231.2  6.9 -1.7  1.2  7.3 54889.343 21.06 20.82 20.79 1  0.989  0.936 
SDSSJ100640.75+155932.7  212.4  4.4  0.5  0.4  7.3 55240.355                                   
SDSSJ100641.07+161004.8   87.4  2.5  3.3  0.3  7.8 54889.343 21.30 20.53 20.21 0 -9.999 -9.999 
SDSSJ100641.44+161135.5  210.4  5.1  1.5  0.5  8.9 54889.343 21.67 21.43 21.32 1  0.980  0.926 
SDSSJ100641.44+161135.5  206.6  8.9  0.8  0.5  8.9 54881.416                                   
SDSSJ100641.44+161135.5  208.1 14.9  0.6  2.3  8.9 54881.284                                   
SDSSJ100641.52+160719.4 -134.1  3.3  0.7  0.5  6.0 54889.343 23.09 21.82 21.25 0 -9.999 -9.999 
SDSSJ100642.10+161055.9   13.7  2.2  5.0  0.3  8.3 54881.416 15.65 14.91 14.66 0  0.000  0.000 
SDSSJ100642.22+161040.5   58.9  5.4  4.1  0.6  8.0 54881.416 23.81 22.54 21.36 0 -9.999 -9.999 
SDSSJ100642.76+155709.3  291.9  6.4  2.1  0.5  8.8 54890.444 21.53 21.23 21.02 0 -9.999 -9.999 
SDSSJ100642.76+155709.3  300.1  5.4  1.6  0.6  8.8 55240.355                                   
SDSSJ100643.41+155449.0   -1.3  6.7  0.9  0.6 10.7 54890.444 21.96 21.47 21.29 0  0.000  0.000 
SDSSJ100643.47+160604.5  209.4  6.4  0.0  0.4  5.0 54889.343 21.17 20.96 20.82 1  0.990  0.984 
SDSSJ100643.54+160239.9   14.4  2.3  2.9  0.3  5.0 54416.551 22.63 20.92 20.00 0 -9.999 -9.999 
SDSSJ100643.70+161050.6   37.1  2.3  4.4  0.3  8.0 54881.284 18.89 17.96 17.61 0 -9.999 -9.999 
SDSSJ100643.70+161050.6   36.8  2.2  4.6  0.3  8.0 54881.416                                   
SDSSJ100644.44+160711.7   29.4  2.8  1.0  0.4  5.3 54889.343 23.70 22.12 20.29 0 -9.999 -9.999 
SDSSJ100644.44+160711.7   35.4  4.8  1.7  1.0  5.3 54881.284                                   
SDSSJ100644.45+160036.4  -76.4  4.0  4.2  0.7  5.9 54881.284 22.27 21.15 19.99 0 -9.999 -9.999 
SDSSJ100644.55+160129.4  209.3  7.5 -1.7  0.5  5.4 55240.355 20.66 20.39 20.31 1  0.997  0.990 
SDSSJ100644.55+160129.4  210.9  4.0  1.5  0.4  5.4 54416.551                                   
SDSSJ100644.55+160129.4  196.2  6.9  0.7  0.9  5.4 54881.284                                   
SDSSJ100644.55+160129.4  210.0  7.6  0.7  0.4  5.4 54889.343                                   
SDSSJ100644.58+155953.9  224.4  3.0  2.7  0.3  6.4 54881.284 17.33 17.34 17.35 1  0.988 -9.999 
SDSSJ100644.58+155953.9  207.0  2.3  2.0  0.3  6.4 54889.343                                   
SDSSJ100644.58+155953.9  200.9  2.2  2.8  0.3  6.4 54416.551                                   
SDSSJ100644.58+155953.9  219.2  2.3  2.5  0.3  6.4 55240.355                                   
SDSSJ100644.72+155806.4   20.3  2.5  3.5  0.4  7.7 54890.444 22.61 21.31 20.61 0 -9.999 -9.999 
SDSSJ100644.88+161156.9  -35.1  2.2  4.5  0.3  8.7 54881.284 17.75 16.62 16.20 0 -9.999 -9.999 
SDSSJ100645.03+161338.7   13.1  2.2  5.5  0.3 10.2 54889.343 14.80 14.10 13.90 0 -9.999 -9.999 
SDSSJ100645.18+160833.1  138.4  2.4  4.0  0.4  6.0 54881.284 19.54 18.72 18.39 0 -9.999 -9.999 
SDSSJ100645.18+160833.1  139.9  2.2  4.7  0.3  6.0 54881.416                                   
SDSSJ100645.38+160636.5   57.9  2.2  3.5  0.3  4.8 54881.416 16.91 15.66 16.21 0 -9.999 -9.999 
SDSSJ100645.44+160623.5  -24.7  2.2  4.6  0.3  4.7 54881.284 15.81 14.98 14.66 0  0.000  0.000 
SDSSJ100645.44+160623.5  -22.0  2.2  4.8  0.3  4.7 54881.416                                   
SDSSJ100645.46+161105.6   -9.0  2.2  4.7  0.3  7.9 54881.284 16.48 15.65 15.35 0  0.000  0.000 
SDSSJ100645.46+161105.6   -3.8  2.2  3.7  0.3  7.9 54889.343                                   
SDSSJ100645.81+161019.5  149.1  3.4  3.5  0.5  7.2 54881.416 24.60 22.56 21.63 0 -9.999 -9.999 
SDSSJ100645.82+155942.0   -8.6  3.1  2.6  0.4  6.3 54881.284 22.92 21.08 19.47 0 -9.999 -9.999 
SDSSJ100645.88+160551.1   67.2  2.3  4.4  0.3  4.4 54881.284 18.92 18.00 17.66 0 -9.999 -9.999 
SDSSJ100646.58+155805.0  -14.0  2.2  4.2  0.3  7.5 54881.284 15.89 15.56 15.44 0 -9.999 -9.999 
SDSSJ100646.78+160608.3  294.5  2.9  2.2  0.3  4.3 54881.416 20.53 20.22 20.07 0 -9.999 -9.999 
SDSSJ100647.24+161001.1   68.7  3.2 -9.9 -9.9  6.8 54881.416 22.04 20.60 19.73 0 -9.999 -9.999 
SDSSJ100647.73+160425.2   36.6  2.2  4.3  0.3  3.7 54889.343 17.97 17.28 17.04 0  0.000  0.000 
SDSSJ100647.73+160425.2   35.2  2.2  4.4  0.3  3.7 54881.284                                   
SDSSJ100647.76+160203.5   61.8  2.3  3.5  0.3  4.4 55240.355 22.22 20.74 19.70 0 -9.999 -9.999 
SDSSJ100647.77+155929.8  -10.5  2.4  3.0  0.3  6.2 55240.355 22.07 20.63 19.99 0 -9.999 -9.999 
SDSSJ100647.94+160811.9  203.8  6.5  0.7  0.4  5.3 54881.416 21.11 20.94 20.62 1  0.988  0.973 
SDSSJ100648.52+160958.1  306.0  2.6  1.8  0.3  6.6 54881.416 20.27 19.98 19.79 0 -9.999 -9.999 
SDSSJ100648.52+160958.1  293.5 11.7  2.0  0.8  6.6 54881.284                                   
SDSSJ100648.85+155840.3    0.2  2.3  1.7  0.4  6.7 54890.444 23.73 22.43 20.84 0 -9.999 -9.999 
SDSSJ100648.85+155840.3  -12.9  7.0  8.2  2.0  6.7 54881.284                                   
SDSSJ100648.90+160613.3   51.1  2.2  4.9  0.3  3.9 54881.416 19.18 18.13 17.74 0 -9.999 -9.999 
SDSSJ100649.05+160348.7  217.0 13.6  2.9  1.1  3.5 54881.284 20.56 20.34 20.26 1  0.996  0.968 
SDSSJ100649.05+160348.7  199.4  5.1  2.0  0.4  3.5 54416.551                                   
SDSSJ100649.34+155825.2   85.1  2.2  4.1  0.3  6.9 54890.444 17.10 16.68 16.51 0  0.000  0.000 
SDSSJ100649.34+155825.2   84.7  2.3  4.1  0.3  6.9 54881.284                                   
SDSSJ100649.63+160308.3  199.5  9.4  0.6  0.4  3.5 54889.343 21.11 20.97 20.86 1  0.994  0.989 
SDSSJ100649.63+160308.3  208.3  6.7  0.5  0.5  3.5 54416.551                                   
SDSSJ100649.74+160247.1   84.4  2.7  2.4  0.4  3.6 54881.284 18.59 18.29 18.15 0 -9.999 -9.999 
SDSSJ100649.74+160247.1   81.9  2.2  2.1  0.3  3.6 54889.343                                   
SDSSJ100650.09+155741.5  187.7  4.8  3.0  0.5  7.4 54890.444 21.90 21.55 21.27 0  0.073  0.018 
SDSSJ100650.09+155741.5  186.0  5.0  2.1  0.7  7.4 55240.355                                   
SDSSJ100650.30+160708.9  203.2  6.5  0.1  0.4  4.1 54881.416 21.02 20.78 20.73 1  0.980  0.984 
SDSSJ100650.83+160351.2  312.6 11.9  0.7  0.7  3.0 54416.551 22.13 21.97 21.85 0 -9.999 -9.999 
SDSSJ100651.04+160425.3  103.7  3.9  4.1  0.4  2.9 54889.343 21.68 21.20 21.17 0  0.000  0.000 
SDSSJ100651.04+160425.3   97.7  3.2  3.7  0.6  2.9 54416.551                                   
SDSSJ100651.36+155721.8   15.1  2.2  3.1  0.3  7.6 54890.444 21.31 19.90 19.33 0 -9.999 -9.999 
SDSSJ100651.74+161759.2  394.9  8.9 -9.9 -9.9 13.8 54889.267 21.42 20.93 20.95 0 -9.999 -9.999 
SDSSJ100652.22+155452.8  -52.9  2.7  1.9  0.4  9.9 54890.444 21.01 20.46 20.21 0 -9.999 -9.999 
